place_id,external_id,name,category,subcategory,city,state,country,latitude,longitude,location,description,tags,avg_cost,avg_rating,crowd_level,created_at,updated_at
1,place_1,Fun Zone - Central,entertainment,entertainment,Mumbai,State,India,19.099693,72.946123,POINT(72.94612250616329 19.099693041687242),Popular entertainment spot in Mumbai,"['fun', 'performance']",1285.73,3.91,high,2026-01-19 08:57:57.902112,2026-02-10 08:57:57.902112
2,place_2,Spa & Wellness,wellness,wellness,Mumbai,State,India,19.029796,72.827058,POINT(72.82705844398329 19.029795858112646),Best wellness experience in the area,"['yoga', 'health']",2599.02,4.52,moderate,2025-05-12 08:57:57.903109,2026-02-10 08:57:57.903109
3,place_3,Temple - Uptown,religious,religious,Mumbai,State,India,19.068989,72.87604,POINT(72.87604032999668 19.06898907513215),Popular religious spot in Mumbai,"['temple', 'sacred']",449.96,4.36,low,2025-05-16 08:57:57.904294,2026-02-10 08:57:57.904294
4,place_4,Bazaar,shopping,shopping,Mumbai,State,India,19.023805,72.871918,POINT(72.8719175858806 19.02380517958826),Beautiful shopping destination,"['markets', 'bargain']",352.84,3.52,moderate,2025-03-03 08:57:57.907097,2026-02-10 08:57:57.907097
5,place_5,Ruins,historical,historical,Mumbai,State,India,19.122529,72.911588,POINT(72.91158837048367 19.122529220038555),Must-visit historical attraction,"['archaeology', 'old']",1850.04,4.19,moderate,2025-05-29 08:57:57.908096,2026-02-10 08:57:57.908096
6,place_6,Sandy Shore,beach,beach,Mumbai,State,India,19.043744,72.846956,POINT(72.84695621202914 19.043744012269745),Hidden gem for beach lovers,"['sea', 'sand']",2126.55,4.11,high,2025-03-20 08:57:57.909093,2026-02-10 08:57:57.909093
7,place_7,Performance Hall,cultural,cultural,Mumbai,State,India,19.12177,72.894138,POINT(72.89413755548298 19.121770105885105),Beautiful cultural destination,"['arts', 'crafts', 'festivals', 'music']",865.21,3.61,high,2025-08-29 08:57:57.910093,2026-02-10 08:57:57.910093
8,place_8,Monument,historical,historical,Mumbai,State,India,19.093276,72.844397,POINT(72.84439696898848 19.093275897194438),Beautiful historical destination,"['architecture', 'archaeology', 'old', 'heritage']",1253.92,4.88,low,2025-08-07 08:57:57.911090,2026-02-10 08:57:57.911090
9,place_9,Palace - Premium,historical,historical,Mumbai,State,India,19.071996,72.865631,POINT(72.8656309934178 19.071995633232376),Best historical experience in the area,"['monuments', 'old', 'architecture', 'archaeology']",1552.89,3.91,moderate,2025-06-15 08:57:57.916593,2026-02-10 08:57:57.916593
10,place_10,Fort,historical,historical,Mumbai,State,India,19.185523,72.96303,POINT(72.96303024768393 19.185522781290498),Hidden gem for historical lovers,"['architecture', 'heritage', 'old', 'archaeology']",1174.37,4.83,high,2025-09-12 08:57:57.917577,2026-02-10 08:57:57.917577
11,place_11,Live Music Venue,nightlife,nightlife,Mumbai,State,India,18.990474,72.883649,POINT(72.88364892459481 18.99047352107375),Hidden gem for nightlife lovers,"['club', 'drinks', 'live']",2400.72,4.26,high,2025-02-26 08:57:57.918917,2026-02-10 08:57:57.918917
12,place_12,Mountain Peak - Premium,nature,nature,Mumbai,State,India,19.040282,72.885233,POINT(72.88523295217416 19.04028242909868),Hidden gem for nature lovers,"['trek', 'forest', 'peaceful', 'mountain']",866.47,4.11,high,2026-01-19 08:57:57.920311,2026-02-10 08:57:57.920311
13,place_13,War Museum,museum,museum,Mumbai,State,India,19.089835,72.919059,POINT(72.9190591624518 19.0898345399665),Beautiful museum destination,"['history', 'exhibition', 'art', 'artifacts']",397.62,3.2,high,2026-02-04 08:57:57.921939,2026-02-10 08:57:57.921939
14,place_14,Paragliding Point,adventure,adventure,Mumbai,State,India,19.063843,72.871493,POINT(72.87149338055592 19.06384327697965),Must-visit adventure attraction,"['thrilling', 'sports']",2950.77,4.63,low,2025-05-06 08:57:57.923995,2026-02-10 08:57:57.923995
15,place_15,Forest Walk - Uptown,nature,nature,Mumbai,State,India,19.033238,72.826347,POINT(72.82634691205322 19.03323797405601),Best nature experience in the area,"['peaceful', 'mountain', 'scenic']",1052.82,4.5,low,2025-09-20 08:57:57.924931,2026-02-10 08:57:57.924931
16,place_16,Yoga Center,wellness,wellness,Mumbai,State,India,19.069613,72.853432,POINT(72.85343182260856 19.069613258576805),Best wellness experience in the area,"['yoga', 'retreat', 'spa']",2091.5,4.84,very_low,2025-10-25 08:57:57.929955,2026-02-10 08:57:57.929955
17,place_17,Beach Club - Old,beach,beach,Mumbai,State,India,19.159188,72.840738,POINT(72.84073817842724 19.159188489472413),Popular beach spot in Mumbai,"['sea', 'water', 'tropical']",1501.72,4.34,low,2025-10-15 08:57:57.931967,2026-02-10 08:57:57.931967
18,place_18,Dining Hub,food,food,Mumbai,State,India,19.058844,72.983808,POINT(72.98380780985063 19.058843546794794),Hidden gem for food lovers,"['culture', 'restaurant']",521.59,4.62,very_low,2025-07-07 08:57:57.932960,2026-02-10 08:57:57.932960
19,place_19,Night Market,nightlife,nightlife,Mumbai,State,India,19.063372,72.815311,POINT(72.81531084090176 19.063371592430343),Hidden gem for nightlife lovers,"['club', 'live', 'drinks']",1749.23,4.85,moderate,2025-03-07 08:57:57.934499,2026-02-10 08:57:57.934499
20,place_20,Commercial Hub,shopping,shopping,Mumbai,State,India,19.122312,72.846943,POINT(72.84694331611144 19.122311627144253),Best shopping experience in the area,"['retail', 'products']",914.82,4.55,low,2026-01-06 08:57:57.935076,2026-02-10 08:57:57.935076
21,place_21,Theme Park - New,entertainment,entertainment,Mumbai,State,India,19.046532,72.92018,POINT(72.92018010485106 19.04653176215279),Must-visit entertainment attraction,"['crowds', 'performance']",2470.14,4.52,high,2025-11-06 08:57:57.935706,2026-02-10 08:57:57.935706
22,place_22,Bazaar - Old,shopping,shopping,Mumbai,State,India,19.014971,72.955343,POINT(72.95534298879197 19.014971494785907),Hidden gem for shopping lovers,"['markets', 'bargain']",905.97,3.1,moderate,2025-12-20 08:57:57.936586,2026-02-10 08:57:57.937070
23,place_23,Zipline Course - New,adventure,adventure,Mumbai,State,India,19.086095,72.837463,POINT(72.83746316574623 19.086095372090142),Best adventure experience in the area,"['adrenaline', 'sports', 'outdoor']",2340.39,3.4,very_high,2025-06-02 08:57:57.937606,2026-02-10 08:57:57.937606
24,place_24,War Museum - Uptown,museum,museum,Mumbai,State,India,19.143894,72.92201,POINT(72.92201009830647 19.143894039405),Must-visit museum attraction,"['education', 'artifacts']",731.57,4.77,high,2025-08-12 08:57:57.938619,2026-02-10 08:57:57.938619
25,place_25,Amusement Park,entertainment,entertainment,Mumbai,State,India,19.039783,72.783911,POINT(72.7839110680718 19.039783310232647),Beautiful entertainment destination,"['show', 'interactive', 'crowds', 'performance']",2534.39,4.71,high,2025-10-16 08:57:57.940574,2026-02-10 08:57:57.940574
26,place_26,History Museum,museum,museum,Mumbai,State,India,19.055939,72.881183,POINT(72.88118263322595 19.05593897640571),Must-visit museum attraction,"['education', 'artifacts', 'exhibition']",561.55,4.28,moderate,2026-01-29 08:57:57.941572,2026-02-10 08:57:57.941572
27,place_27,Entertainment District,nightlife,nightlife,Mumbai,State,India,19.003358,72.9169,POINT(72.91690032054571 19.003357527046383),Hidden gem for nightlife lovers,"['club', 'live', 'late', 'drinks']",1155.47,4.7,very_high,2026-01-06 08:57:57.942578,2026-02-10 08:57:57.942578
28,place_28,History Museum,museum,museum,Mumbai,State,India,19.055822,72.916714,POINT(72.91671375822101 19.055822252157654),Beautiful museum destination,"['education', 'exhibition', 'history']",505.63,4.07,high,2025-05-03 08:57:57.943570,2026-02-10 08:57:57.943570
29,place_29,Historic Site,historical,historical,Mumbai,State,India,19.093123,72.973276,POINT(72.97327648032548 19.093122845900375),Best historical experience in the area,"['archaeology', 'heritage']",1757.08,4.08,moderate,2025-04-28 08:57:57.944567,2026-02-10 08:57:57.944567
30,place_30,Wildlife Sanctuary,nature,nature,Mumbai,State,India,19.019768,72.877618,POINT(72.8776182016678 19.01976789540811),Best nature experience in the area,"['forest', 'mountain', 'trek', 'peaceful']",1467.97,4.29,very_low,2025-12-06 08:57:57.946620,2026-02-10 08:57:57.947056
31,place_31,Performance Hall - Old,cultural,cultural,Mumbai,State,India,19.078704,72.889718,POINT(72.88971755780388 19.078703543713026),Must-visit cultural attraction,"['tradition', 'music', 'crafts', 'arts']",683.21,3.15,moderate,2025-03-17 08:57:57.947558,2026-02-10 08:57:57.947558
32,place_32,Ruins,historical,historical,Mumbai,State,India,19.146984,72.884102,POINT(72.88410205342792 19.14698364887719),Must-visit historical attraction,"['archaeology', 'architecture', 'old', 'monuments']",1537.26,3.72,moderate,2025-09-03 08:57:57.948555,2026-02-10 08:57:57.948555
33,place_33,Green Trail,nature,nature,Mumbai,State,India,19.035225,72.849749,POINT(72.84974872533832 19.035225046335576),Must-visit nature attraction,"['peaceful', 'mountain']",1190.39,3.76,very_low,2025-05-29 08:57:57.951597,2026-02-10 08:57:57.951597
34,place_34,Shopping Mall - Old,shopping,shopping,Mumbai,State,India,19.064952,72.850336,POINT(72.85033600818313 19.06495152002334),Must-visit shopping attraction,"['retail', 'markets', 'bargain', 'products']",772.72,4.63,very_low,2025-05-12 08:57:57.952546,2026-02-10 08:57:57.952546
35,place_35,Entertainment District - Downtown,nightlife,nightlife,Mumbai,State,India,19.037446,72.906509,POINT(72.90650872997355 19.03744567297478),Best nightlife experience in the area,"['drinks', 'bar']",1466.43,4.27,low,2025-10-22 08:57:57.953541,2026-02-10 08:57:57.953541
36,place_36,Shopping Mall - Uptown,shopping,shopping,Mumbai,State,India,19.103782,72.833919,POINT(72.83391908733077 19.10378201198168),Beautiful shopping destination,"['retail', 'products', 'brands']",313.5,2.91,very_low,2026-01-05 08:57:57.956541,2026-02-10 08:57:57.956541
37,place_37,Bazaar,shopping,shopping,Mumbai,State,India,19.110232,72.848861,POINT(72.84886143347158 19.11023211007776),Beautiful shopping destination,"['retail', 'bargain']",614.45,4.01,low,2025-09-23 08:57:57.957532,2026-02-10 08:57:57.957532
38,place_38,Palace - Premium,historical,historical,Mumbai,State,India,19.019043,72.891087,POINT(72.89108713328517 19.019042913570505),Beautiful historical destination,"['old', 'heritage', 'monuments']",1134.41,4.91,very_low,2025-11-08 08:57:57.958528,2026-02-10 08:57:57.958528
39,place_39,Historic Site - Old,historical,historical,Mumbai,State,India,19.045779,72.911898,POINT(72.91189808187373 19.045779276093416),Hidden gem for historical lovers,"['architecture', 'monuments']",1721.6,4.35,very_low,2025-07-12 08:57:57.962518,2026-02-10 08:57:57.962518
